83023,97914,59845
95221,6604,47587
15200,13848,533
91106,47235,95124
91396,58746,56994
72070,33359,10785
13733,43410,23707
84853,78378,68689
32718,46986,56596
96972,42634,87849
75321,85448,3806
85644,27374,92127
42658,85123,55506
95419,51177,82050
93183,89429,64168
20111,58516,78238
84347,94979,18981
85228,50028,61792
37408,58558,92215
78135,48786,84378
91444,6758,47814
72353,96943,99110
29125,99746,96294
82591,76381,50973
40594,57719,48923
68457,13532,54551
41623,1214,41146
5329,66685,52253
38441,18886,17137
51198,78425,24757
57954,19943,5193
25571,59698,26460
35041,16302,43934
93554,45583,10885
72830,18399,22577
49658,55564,76672
55761,35924,277
8145,69129,83753
46464,73362,66428
21044,23155,12880
30656,26927,92819
49127,56156,38158
29611,28784,15694
8446,8675,81587
82421,72930,36434
55032,80661,58980
60996,97834,30356
97137,68358,96661
61250,52463,90497
97887,95388,97794
42671,60596,54375
44662,31390,19230
22670,94138,64282
78786,54649,54831
76084,6111,23513
36141,9518,15148
79576,75966,49301
9096,77126,18955
65720,38873,88418
66473,40148,55289
4466,66547,98094
75685,11147,71479
90411,97753,70313
34746,35259,80756
55909,45524,52667
73795,29539,58999
643,12216,56158
71,12740,76121
83991,25426,68085
22625,51838,79017
17653,68339,57575
75011,86938,27225
73011,73334,62395
56785,28814,60336
4459,52452,8794
21966,66681,64410
82554,61793,11432
15928,99706,10305
16319,39233,55476
35971,50755,40035
87292,69839,52900
69828,53645,12739
58064,55186,91326
2959,70223,73383
14635,79537,48547
6016,61955,5471
16200,68036,71562
91483,24715,33986
71805,36020,4935
40550,51905,24094
56157,73283,71388
86389,15276,72777
10049,41822,74235
63361,30062,39584
89330,95990,49284
90041,32152,51147
24345,63613,47251
791,36312,30720
4010,28661,15585
78074,3095,42165
49312,32745,35219
27671,79745,47901
599,44177,29250
96722,11018,72047
13536,4055,87466
26862,23317,41027
79892,70552,43134
64497,12037,49066
19287,990,54327
18111,4450,30397
57219,85320,70045
96321,12566,61949
47149,62361,23123
32232,98647,3246
41996,80504,38622
99339,32036,70498
56042,27237,97252
17642,8588,68927
57229,92291,75905
9911,94307,12471
80246,51936,70519
40612,34072,19307
25553,65907,79644
6375,62624,97129
73620,66653,60323
89172,1394,26421
15015,98109,935
64684,90267,86515
35892,10464,92344
54200,92912,92669
89679,34702,30898
39001,80455,99198
80994,61551,87120
35229,68596,17914
16568,95318,93777
78916,86597,31661
88234,25589,45446
78081,46748,98007
34046,4193,73932
13371,88196,32622
64990,97591,98053
76215,57477,47998
28767,55034,12766
80197,22480,93615
56689,51960,7344
67303,82415,95110
13066,66494,81388
93114,59516,22466
64331,89460,40123
95123,91027,98452
55429,57786,79557
65856,75041,37248
80746,18552,74090
28112,7107,78239
29624,12178,5891
49043,94592,78960
79172,28955,34157
78632,28974,23322
98203,99482,49152
39547,72632,67955
87616,26784,53122
29139,59779,55356
91699,2023,37144
47017,97148,78726
51629,9727,13675
76078,17364,66657
42600,66359,55888
17480,13345,40751
29450,26042,2510
62038,9516,89292
63316,74573,85897
31328,77479,80680
15781,58688,13309
98650,14219,60385
48519,62750,48659
91608,45047,48465
53333,23580,92775
34111,65669,4854
36335,84293,80527
69469,76269,42260
50494,54162,75357
91395,46417,86448
80596,24814,54060
65295,89470,93825
75529,40579,88982
77921,40764,72220
91448,81643,10902
7079,91202,57223
75152,95331,581
30279,42541,98395
66535,62047,3556
39610,66038,72948
61621,65308,69300
24716,95103,17739
5548,72258,24988
49139,72448,51160
6989,6405,73705
25533,97824,93002
21277,36478,29976
25357,91132,29886
66274,77847,11542
9636,51894,88277
98234,27696,76351
35158,34074,45211
49212,12123,45416
50898,60661,2299
21457,16882,79783
87281,95415,83384
60234,28773,91412
57314,3452,4799
92808,64794,35232
12101,6250,32179
1470,8832,50734
66135,85294,40526
58054,32178,523
92646,15554,77904
68019,46451,45261
36344,32645,84650
96432,64756,12320
29257,27831,2244
78440,77331,88696
57296,72372,89097
35464,94343,47746
36437,77375,71167
57391,24280,56110
70456,49233,90307
80459,66390,2646
84006,50489,7999
88454,40040,80174
85766,17954,35536
22431,66761,12431
49956,94984,40177
61287,250,24537
52926,88129,74877
65033,40725,37191
36600,93997,70277
62037,55742,59394
12937,12395,99641
94377,18859,98526
68395,64761,66602
74285,86567,85731
28790,35822,41656
82117,36347,31838
85627,57640,97476
30117,70309,40411
52663,73164,81824
37596,32209,80752
36202,34452,50861
49001,36939,30593
86891,42347,16406
7984,76299,47269
53728,54892,21628
33405,1202,32285
98259,60245,54549
13624,6943,45145
66665,75675,1930
22969,53199,82218
40618,39163,46679
19963,88260,19149
75415,97620,44413
98031,27474,56095
74789,9161,88259
6820,60419,59057
44091,83231,57076
33628,31552,69448
72333,18138,92689
42918,59983,85663
5511,12003,35640
38053,85167,43219
80815,24986,57938
99739,12507,33474
63325,66435,2204
27960,31592,26344
72135,33627,58632
8405,31610,29001
77760,21194,35387
42765,30621,67434
6492,10882,15610
39378,13677,28454
42063,86532,89365
44099,18543,30576
16461,68201,32259
53882,65452,58807
38572,79476,79077
76034,31164,83419
47027,56721,37638
72652,93268,12399
16509,29848,83287
34954,80832,74615
6400,53090,53708
40616,72241,98934
60630,89224,92210
55937,74036,11131
72064,87336,63567
41744,85887,17561
40423,88861,13318
18389,61139,41496
19271,56771,22178
67043,20591,93983
5300,75446,88271
96023,50077,19302
62369,65678,35560
38961,33807,37861
51414,52797,61296
74973,59475,31605
20079,49359,71043
99409,13531,29202
51242,33019,49539
74343,68830,21949
85504,63879,24124
26772,62589,90511
46597,85574,79140
72586,71630,58524
31891,16574,98317
33359,82499,56197
39610,98941,76086
53148,96207,9295
51777,54763,86878
31465,85806,10369
22285,92123,2760
77336,15489,440
76033,35059,30115
38949,25045,37767
3454,35982,53196
769,74648,88913
70761,37747,52488
18625,12825,65126
79423,44079,10993
12341,71251,58927
64150,30665,19861
27194,97743,67771
50630,45103,11740
67678,89004,14157
17068,96419,51722
55167,11054,70600
77745,52771,69811
49784,19504,39169
54764,23077,45457
8768,70474,86581
55547,51829,39755
41086,78904,25106
11786,90214,31709
56162,10884,48347
37408,41181,2859
67524,3358,24701
76919,13759,60470
94876,52182,99012
85491,36455,46528
46686,70396,22251
33177,9677,88029
4982,37705,2700
36949,77207,39705
69151,67567,75771
72779,99680,83629
16604,11663,9985
42059,99589,82918
82252,5948,35054
86653,73740,32181
22532,10998,1055
40858,88066,12774
55985,38536,33223
19775,92665,73522
12163,39631,23317
37380,72940,83500
55790,92654,36287
90010,18224,79238
45397,65402,19883
8939,80085,2945
50909,4547,59505
60938,93419,32337
51499,30491,1102
48354,630,17252
60819,63591,88688
65087,17444,92194
53703,23007,69361
92826,39386,72187
7233,35348,95004
99521,10436,13858
34610,3688,55066
39,28492,14137
53076,56691,93001
71698,95384,55496
67308,79765,31959
12649,87125,69336
90967,44366,51366
797,26924,76647
13685,35458,37078
21594,47933,74812
96560,59424,35863
73650,19290,70714
3665,62059,44503
28777,7947,52272
1937,45360,3770
90132,3831,23437
49835,31998,13679
94876,46836,70065
22333,45735,12259
90060,26851,72047
62263,61806,19368
79966,62230,36244
98076,88252,81360
42022,63691,2212
22708,44719,49036
76781,22876,95221
90823,44321,20420
57930,18330,48549
69029,70389,38443
49905,31474,53964
8079,76138,89114
19648,28719,13355
65637,7275,82173
21865,14287,62877
67677,24288,97067
14072,47021,33478
79367,2829,63365
49290,31778,98368
60200,67151,25350
48916,86997,70408
305,62394,67590
61550,99717,94728
14223,65580,77769
95981,65362,79093
784,34215,87276
60024,62949,13541
19630,50887,86968
94574,33016,99610
92983,44345,53607
10392,12260,10076
56713,97298,30987
62123,29824,77496
55055,60341,6939
81974,40112,3326
13207,59499,79183
49080,73021,35357
49487,89942,99789
68381,3070,4810
33276,37114,24996
42359,35375,14799
55909,43807,19569
50944,80993,40525
28603,28387,68085
47346,1776,75069
7826,67550,83739
71246,77232,70209
24305,49469,44413
48883,39865,56895
30991,15543,46085
59126,95195,82322
5254,60504,32865
82300,45298,97681
76341,39398,18352
7895,8541,15855
50600,59097,77445
7008,50117,60567
66605,69779,51719
6268,41783,29718
86355,71922,89816
17381,24033,25037
750,7769,93295
75903,20899,35251
74087,9610,46226
3553,74772,83404
310,17925,76045
41127,88410,10248
75212,4127,72488
72666,22613,14994
26017,40268,69040
81915,1821,86481
58267,44514,50803
98324,4181,30213
29868,53634,97472
18520,18986,14161
34972,80854,61390
1279,56024,18856
48423,23379,88173
14276,88239,53235
39830,9979,42285
1306,54593,22075
47453,27530,42113
97353,97502,74450
88493,63921,62664
71993,97442,13974
29389,56875,27043
19968,36426,4030
28944,35020,32630
84682,12927,7193
45135,35628,3674
39536,3206,50806
14629,23524,37924
32725,80382,34969
65844,74444,90961
7124,56246,79242
93744,35517,87256
74717,39097,49879
71820,90427,69622
38464,6640,56511
98639,83915,87188
47579,7056,74001
81879,57965,58220
67878,55346,6779
94401,13529,32351
53715,25638,35751
52749,67987,49393
9035,57404,55722
77753,35145,83425
77624,85914,1844
23359,4433,2132
74266,1046,77742
13863,82902,41252
96980,78861,17205
10471,7940,72727
8729,2577,56316
28042,15691,50669
12359,84377,77247
923,5355,66076
42150,66811,3442
86034,45964,43668
73653,72236,93668
50964,86533,70514
31280,49803,30598
65880,69374,67993
55024,17581,62205
37445,8747,34251
84793,86132,24366
47584,74349,27777
53692,30971,75900
116,85170,66583
20775,30914,12704
86129,62848,68868
20489,732,45144
33561,53430,30313
88796,89442,50468
36970,9589,78402
86024,36946,22780
94235,38760,96905
94784,10742,47367
19378,71279,92982
69238,94387,87592
40431,49477,80139
33507,96070,14452
45030,95222,62554
43641,69391,32528
40202,21418,12
68410,59024,469
76416,37569,6163
10654,76283,67820
10289,6985,72725
70396,90328,55732
83995,77241,18432
519,91399,14274
54941,84967,82739
479,31926,34751
64679,33045,38396
89792,60017,60481
68240,92213,36234
68654,56325,63007
